"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1990806","ligand-gated ion channel signaling pathway","4/50","47/18860",0.0851063829787234,32.1021276595745,11.0067711158561,7.16693799424001e-06,0.00548987450358785,0.00458684031631361,"PLCB1/GRIA4/GRID2/CHRM3",4
"GO:0050807","regulation of synapse organization","7/50","322/18860",0.0217391304347826,8.2,6.71860220304086,2.1075664711579e-05,0.00570289580844672,0.00476482156319308,"ROBO2/ELMO1/GRID2/NEGR1/LRFN2/PPFIA2/GPM6A",7
"GO:0050803","regulation of synapse structure or activity","7/50","329/18860",0.0212765957446809,8.02553191489362,6.62792623895636,2.41921315317628e-05,0.00570289580844672,0.00476482156319308,"ROBO2/ELMO1/GRID2/NEGR1/LRFN2/PPFIA2/GPM6A",7
"GO:0050953","sensory perception of light stimulus","6/50","228/18860",0.0263157894736842,9.92631578947368,6.9913310539151,2.97801347699567e-05,0.00570289580844672,0.00476482156319308,"CNGB3/ARR3/PDE6C/PDE6H/PCDH15/GRK7",6
"GO:0141162","negative regulation of cAMP/PKA signal transduction","3/50","28/18860",0.107142857142857,40.4142857142857,10.7605479733505,5.48151342989498e-05,0.00839767857459911,0.00701633719026558,"PDE1C/PDE6C/PDE7A",3
"GO:0141161","regulation of cAMP/PKA signal transduction","3/50","47/18860",0.0638297872340425,24.0765957446808,8.16660552213541,0.000261865403468982,0.0263783515272545,0.0220393537564528,"PDE1C/PDE6C/PDE7A",3
"GO:0051964","negative regulation of synapse assembly","2/50","10/18860",0.2,75.44,12.139495035358,0.000305788541623412,0.0263783515272545,0.0220393537564528,"ROBO2/NEGR1",2
"GO:0098917","retrograde trans-synaptic signaling","2/50","10/18860",0.2,75.44,12.139495035358,0.000305788541623412,0.0263783515272545,0.0220393537564528,"TENM2/PLCB1",2
"GO:0007601","visual perception","5/50","224/18860",0.0223214285714286,8.41964285714286,5.7594444525272,0.000309928412200118,0.0263783515272545,0.0220393537564528,"CNGB3/ARR3/PDE6C/PDE6H/GRK7",5
"GO:0046549","retinal cone cell development","2/50","11/18860",0.181818181818182,68.5818181818182,11.5593121485254,0.000373108229930625,0.0275250126653906,0.0229973996159921,"PDE6C/THRB",2
"GO:0007602","phototransduction","3/50","55/18860",0.0545454545454545,20.5745454545455,7.49525299294734,0.000417414433701474,0.0275250126653906,0.0229973996159921,"SLC24A2/PDE6C/GRK7",3
"GO:0141156","cAMP/PKA signal transduction","3/50","56/18860",0.0535714285714286,20.2071428571429,7.4213274350259,0.000440220829414179,0.0275250126653906,0.0229973996159921,"PDE1C/PDE6C/PDE7A",3
"GO:0099173","postsynapse organization","5/50","245/18860",0.0204081632653061,7.69795918367347,5.44056437280177,0.00046713467969984,0.0275250126653906,0.0229973996159921,"ELMO1/GRID2/SH3GL2/LRFN2/PPFIA2",5
"GO:0099175","regulation of postsynapse organization","4/50","146/18860",0.0273972602739726,10.3342465753425,5.83743851301643,0.000601931469780354,0.0301073662984593,0.025154979674953,"ELMO1/GRID2/LRFN2/PPFIA2",4
"GO:0042670","retinal cone cell differentiation","2/50","14/18860",0.142857142857143,53.8857142857143,10.2056984854249,0.0006141926807515,0.0301073662984593,0.025154979674953,"PDE6C/THRB",2
"GO:0007215","glutamate receptor signaling pathway","3/50","65/18860",0.0461538461538462,17.4092307692308,6.8324060826185,0.000682153122465474,0.0301073662984593,0.025154979674953,"PLCB1/GRIA4/GRID2",3
"GO:0046541","saliva secretion","2/50","15/18860",0.133333333333333,50.2933333333333,9.84658604729917,0.000707483803358052,0.0301073662984593,0.025154979674953,"NEGR1/CHRM3",2
"GO:1905809","negative regulation of synapse organization","2/50","15/18860",0.133333333333333,50.2933333333333,9.84658604729917,0.000707483803358052,0.0301073662984593,0.025154979674953,"ROBO2/NEGR1",2
"GO:0007416","synapse assembly","5/50","284/18860",0.0176056338028169,6.64084507042254,4.93829665174766,0.000910090451552017,0.0366910150467813,0.0306556783680679,"ROBO2/ELMO1/GRID2/NEGR1/GPM6A",5
"GO:0008277","regulation of G protein-coupled receptor signaling pathway","4/50","167/18860",0.0239520958083832,9.03473053892216,5.3769993456698,0.000994431140004035,0.0377566312102949,0.0315460104106902,"PLCB1/ARR3/PDE6H/GRK7",4
"GO:0009583","detection of light stimulus","3/50","75/18860",0.04,15.088,6.30266624134926,0.00103510346660077,0.0377566312102949,0.0315460104106902,"SLC24A2/PDE6C/GRK7",3
"GO:0051963","regulation of synapse assembly","4/50","181/18860",0.0220994475138122,8.33591160220994,5.1128906023862,0.00133922142873936,0.0466292552006521,0.038959168836054,"ROBO2/ELMO1/GRID2/NEGR1",4
"GO:0007213","G protein-coupled acetylcholine receptor signaling pathway","2/50","21/18860",0.0952380952380952,35.9238095238095,8.25566895570263,0.00140066071802323,0.0466480917393823,0.0389749069362986,"PLCB1/CHRM3",2
