"","CLRN1_KO","WT"
"0",18.5806451612903,26.5499425947187
"1",23.4516129032258,14.4087256027555
"2",14.0967741935484,10.7921928817451
"3",4.25806451612903,6.31458094144661
"4",3.96774193548387,5.22388059701492
"5",3.83870967741935,3.67393800229621
"6",2.58064516129032,4.07577497129736
"7",3.06451612903226,3.50172215843858
"8",1.74193548387097,3.76004592422503
"9",1.74193548387097,3.61653272101033
"10",1.83870967741935,2.46842709529277
"11",2.09677419354839,1.83696900114811
"12",1.54838709677419,2.00918484500574
"13",1.58064516129032,1.75086107921929
"14",2.61290322580645,0.746268656716418
"15",1.29032258064516,1.40642939150402
"16",2.45161290322581,0.0574052812858783
"17",1.29032258064516,1.03329506314581
"18",0.774193548387097,1.34902411021814
"19",0.935483870967742,1.17680826636051
"20",1.48387096774194,0.660160734787601
"21",1,0.918484500574053
"22",0.67741935483871,0.631458094144661
"23",0.516129032258065,0.774971297359357
"24",0.709677419354839,0.574052812858783
"25",1.35483870967742,0
"26",0.516129032258065,0.68886337543054
